"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5811","Переход по клику на «Личный кабинет» после авторизации [1] CHROME","","Mon Jun 29 02:08:45 MSK 2026","passed","Mon Jun 29 02:08:51 MSK 2026","","tests.HomePageTest","tests.HomePageTest","openPersonalAccountWithAuth"
"","3017","Переход по клику на «Конструктор» без авторизации [2] YANDEX","","Mon Jun 29 02:09:31 MSK 2026","passed","Mon Jun 29 02:09:34 MSK 2026","","tests.PersonalAccountTest","tests.PersonalAccountTest","openConstructorFromPersonalAccountViaConstructorButtonWithoutAuth"
"","3967","Вход через кнопку в форме восстановления пароля [1] CHROME","","Mon Jun 29 02:09:03 MSK 2026","passed","Mon Jun 29 02:09:07 MSK 2026","","tests.LoginTest","tests.LoginTest","userLoginTestFromPasswordRecoveryPage"
"","5016","Выход по кнопке «Выйти» в личном кабинете [2] YANDEX","","Mon Jun 29 02:09:39 MSK 2026","passed","Mon Jun 29 02:09:44 MSK 2026","","tests.PersonalAccountTest","tests.PersonalAccountTest","logoutUser"
"","4215","Переход по клику на «Конструктор» c авторизацией [2] YANDEX","","Mon Jun 29 02:09:54 MSK 2026","passed","Mon Jun 29 02:09:58 MSK 2026","","tests.PersonalAccountTest","tests.PersonalAccountTest","openConstructorFromPersonalAccountViaConstructorButtonWithAuth"
"","3025","Переход по клику на логотип Stellar Burgers без авторизации [1] CHROME","","Mon Jun 29 02:09:44 MSK 2026","passed","Mon Jun 29 02:09:47 MSK 2026","","tests.PersonalAccountTest","tests.PersonalAccountTest","openConstructorFromPersonalAccountViaStellarBurgersLogoWithoutAuth"
"","4437","Вход по кнопке «Войти в аккаунт» на главной странице [2] YANDEX","","Mon Jun 29 02:09:15 MSK 2026","passed","Mon Jun 29 02:09:19 MSK 2026","","tests.LoginTest","tests.LoginTest","userLoginTestFromLoginButton"
"","4485","Переход по клику на «Личный кабинет» после авторизации [2] YANDEX","","Mon Jun 29 02:08:51 MSK 2026","passed","Mon Jun 29 02:08:55 MSK 2026","","tests.HomePageTest","tests.HomePageTest","openPersonalAccountWithAuth"
"Минимальный пароль — шесть символов.","3445","Ошибка для некорректного пароля при регистрации пользователя [2] YANDEX","","Mon Jun 29 02:10:17 MSK 2026","passed","Mon Jun 29 02:10:20 MSK 2026","","tests.RegisterTest","tests.RegisterTest","registerWithShortPasswordShowsErrorTest"
"","3991","Вход через кнопку «Личный кабинет» [2] YANDEX","","Mon Jun 29 02:08:59 MSK 2026","passed","Mon Jun 29 02:09:03 MSK 2026","","tests.LoginTest","tests.LoginTest","userLoginTestFromPersonalAccountButton"
"","3950","Вход по кнопке «Войти в аккаунт» на главной странице [1] CHROME","","Mon Jun 29 02:09:11 MSK 2026","passed","Mon Jun 29 02:09:15 MSK 2026","","tests.LoginTest","tests.LoginTest","userLoginTestFromLoginButton"
"","3249","Переход к разделу «Булки» [2] YANDEX","","Mon Jun 29 02:08:23 MSK 2026","passed","Mon Jun 29 02:08:26 MSK 2026","","tests.ConstructorTest","tests.ConstructorTest","tabBunsShouldBeActive"
"","3054","Переход по клику на логотип Stellar Burgers без авторизации [2] YANDEX","","Mon Jun 29 02:09:47 MSK 2026","passed","Mon Jun 29 02:09:50 MSK 2026","","tests.PersonalAccountTest","tests.PersonalAccountTest","openConstructorFromPersonalAccountViaStellarBurgersLogoWithoutAuth"
"","3084","Переход к разделу «Соусы» [2] YANDEX","","Mon Jun 29 02:08:35 MSK 2026","passed","Mon Jun 29 02:08:38 MSK 2026","","tests.ConstructorTest","tests.ConstructorTest","tabSaucesShouldBeActive"
"","3158","Переход по клику на «Личный кабинет» без авторизации [1] CHROME","","Mon Jun 29 02:08:38 MSK 2026","passed","Mon Jun 29 02:08:41 MSK 2026","","tests.HomePageTest","tests.HomePageTest","openPersonalAccountWithoutAuth"
"","3143","Переход к разделу «Начинки» [1] CHROME","","Mon Jun 29 02:08:26 MSK 2026","passed","Mon Jun 29 02:08:29 MSK 2026","","tests.ConstructorTest","tests.ConstructorTest","tabFillingsShouldBeActive"
"","3709","Успешная регистрация пользователя [1] CHROME","","Mon Jun 29 02:10:06 MSK 2026","passed","Mon Jun 29 02:10:10 MSK 2026","","tests.RegisterTest","tests.RegisterTest","successfulUserRegisterTest"
"","4086","Вход через кнопку в форме восстановления пароля [2] YANDEX","","Mon Jun 29 02:09:07 MSK 2026","passed","Mon Jun 29 02:09:11 MSK 2026","","tests.LoginTest","tests.LoginTest","userLoginTestFromPasswordRecoveryPage"
"","3052","Переход по клику на «Конструктор» без авторизации [1] CHROME","","Mon Jun 29 02:09:28 MSK 2026","passed","Mon Jun 29 02:09:31 MSK 2026","","tests.PersonalAccountTest","tests.PersonalAccountTest","openConstructorFromPersonalAccountViaConstructorButtonWithoutAuth"
"","4954","Выход по кнопке «Выйти» в личном кабинете [1] CHROME","","Mon Jun 29 02:09:34 MSK 2026","passed","Mon Jun 29 02:09:39 MSK 2026","","tests.PersonalAccountTest","tests.PersonalAccountTest","logoutUser"
"Минимальный пароль — шесть символов.","3224","Ошибка для некорректного пароля при регистрации пользователя [1] CHROME","","Mon Jun 29 02:10:14 MSK 2026","passed","Mon Jun 29 02:10:17 MSK 2026","","tests.RegisterTest","tests.RegisterTest","registerWithShortPasswordShowsErrorTest"
"","4060","Вход через кнопку в форме регистрации [1] CHROME","","Mon Jun 29 02:09:19 MSK 2026","passed","Mon Jun 29 02:09:24 MSK 2026","","tests.LoginTest","tests.LoginTest","userLoginTestFromRegisterPage"
"","4311","Вход через кнопку в форме регистрации [2] YANDEX","","Mon Jun 29 02:09:24 MSK 2026","passed","Mon Jun 29 02:09:28 MSK 2026","","tests.LoginTest","tests.LoginTest","userLoginTestFromRegisterPage"
"","3753","Успешная регистрация пользователя [2] YANDEX","","Mon Jun 29 02:10:10 MSK 2026","passed","Mon Jun 29 02:10:14 MSK 2026","","tests.RegisterTest","tests.RegisterTest","successfulUserRegisterTest"
"","3990","Переход по клику на логотип Stellar Burgers c авторизацией [1] CHROME","","Mon Jun 29 02:09:58 MSK 2026","passed","Mon Jun 29 02:10:02 MSK 2026","","tests.PersonalAccountTest","tests.PersonalAccountTest","openConstructorFromPersonalAccountViaStellarBurgersLogoWithAuth"
"","2971","Переход к разделу «Начинки» [2] YANDEX","","Mon Jun 29 02:08:29 MSK 2026","passed","Mon Jun 29 02:08:32 MSK 2026","","tests.ConstructorTest","tests.ConstructorTest","tabFillingsShouldBeActive"
"","3033","Переход к разделу «Булки» [1] CHROME","","Mon Jun 29 02:08:20 MSK 2026","passed","Mon Jun 29 02:08:23 MSK 2026","","tests.ConstructorTest","tests.ConstructorTest","tabBunsShouldBeActive"
"","3120","Переход к разделу «Соусы» [1] CHROME","","Mon Jun 29 02:08:32 MSK 2026","passed","Mon Jun 29 02:08:35 MSK 2026","","tests.ConstructorTest","tests.ConstructorTest","tabSaucesShouldBeActive"
"","4074","Переход по клику на логотип Stellar Burgers c авторизацией [2] YANDEX","","Mon Jun 29 02:10:02 MSK 2026","passed","Mon Jun 29 02:10:06 MSK 2026","","tests.PersonalAccountTest","tests.PersonalAccountTest","openConstructorFromPersonalAccountViaStellarBurgersLogoWithAuth"
"","3463","Раздел «Булки» активен по умолчанию [1] CHROME","","Mon Jun 29 02:08:13 MSK 2026","passed","Mon Jun 29 02:08:17 MSK 2026","","tests.ConstructorTest","tests.ConstructorTest","tabBunsShouldBeActiveByDefault"
"","4014","Вход через кнопку «Личный кабинет» [1] CHROME","","Mon Jun 29 02:08:55 MSK 2026","passed","Mon Jun 29 02:08:59 MSK 2026","","tests.LoginTest","tests.LoginTest","userLoginTestFromPersonalAccountButton"
"","3914","Переход по клику на «Конструктор» c авторизацией [1] CHROME","","Mon Jun 29 02:09:50 MSK 2026","passed","Mon Jun 29 02:09:54 MSK 2026","","tests.PersonalAccountTest","tests.PersonalAccountTest","openConstructorFromPersonalAccountViaConstructorButtonWithAuth"
"","3231","Переход по клику на «Личный кабинет» без авторизации [2] YANDEX","","Mon Jun 29 02:08:41 MSK 2026","passed","Mon Jun 29 02:08:45 MSK 2026","","tests.HomePageTest","tests.HomePageTest","openPersonalAccountWithoutAuth"
"","3106","Раздел «Булки» активен по умолчанию [2] YANDEX","","Mon Jun 29 02:08:17 MSK 2026","passed","Mon Jun 29 02:08:20 MSK 2026","","tests.ConstructorTest","tests.ConstructorTest","tabBunsShouldBeActiveByDefault"
